,text,source,part,Happiness_M,Sadness_M,Anger_M,Disgust_M,Fear_M,Pride_M,Valence_M,Arousal_M,Irony_M,norm_Happiness_M,norm_Sadness_M,norm_Anger_M,norm_Disgust_M,norm_Fear_M,norm_Pride_M,norm_Valence_M,norm_Arousal_M,z_score_Happiness_M,z_score_Sadness_M,z_score_Anger_M,z_score_Disgust_M,z_score_Fear_M,z_score_Pride_M,z_score_Valence_M,z_score_Arousal_M,total_z_score
3204,"Zdaniem ponad 36 procent badanych liderem opozycji jest Donald Tusk, zdaniem niecałych dziesięciu procent Rafał Trzaskowski, a zdaniem 8 z kawałeczkiem Szymon Holownia. No to przynajmniej tę jedną kwestię mamy już definitywnie rozstrzygniętą i z głowy.",twitter,40,1.0,1.0,1.4,1.6,1.0,1.4,2.8,2.0,2.0,0.0,0.0,0.0999999999999999,0.15,0.0,0.0999999999999999,0.4499999999999999,0.25,0.7028090943480242,0.9023972241428534,0.5335435946094318,0.0233465077622956,0.7521940272312464,0.3512211860897234,0.1433480538048069,0.5322478338030223,3.941107521791405
3305,Tusk i Putin mają Polskę gdzieś taka jest prawda,youtube,67,1.0,3.6,3.4,2.0,2.4,1.0,1.8,2.8,0.0,0.0,0.65,0.6,0.25,0.35,0.0,0.2,0.4499999999999999,0.7028090943480242,2.8215985152382674,1.3905542480197337,0.4589228819224826,1.660494364432353,0.8114075297411351,0.945167376978211,0.5356658411643895,9.326619851844596
3307,P Tusk to ... Lepiej niech nic nie mówi,youtube,17,1.0,1.4,3.8,3.6,1.6,1.2,1.4,3.0,3.0,0.0,0.0999999999999999,0.7,0.65,0.15,0.0499999999999999,0.0999999999999999,0.5,0.7028090943480242,0.3294748026996042,1.7753738165455666,2.3880004406615964,0.281815283481725,0.5813143579154293,1.3805735492914184,0.8026442599062428,8.242005604849608
3360,"Choć oczywiście najbardziej prawdopodobne uzasadnienie dla tego wyskoku Sikorskiego, jest zemsta an administracji prezydenta USA za brak zaproszenia dla Donalda Tuska. Piaskownica.",twitter,85,1.0,1.8,3.2,2.2,1.4,1.4,1.6,2.4,3.0,0.0,0.2,0.55,0.3,0.0999999999999999,0.0999999999999999,0.15,0.35,0.7028090943480242,0.2434476187436453,1.1981444637568175,0.700057576764872,0.0628544867559323,0.3512211860897234,1.1628704631348146,0.0017090036806836,4.423113893274513
3737,Stara czarownico jak ci źle idź do Tuska da ci dwa zł i mocherowy beret,youtube,65,1.0,1.4,4.6,3.8,1.2,1.2,1.0,3.8,2.0,0.0,0.0999999999999999,0.8999999999999999,0.7,0.0499999999999999,0.0499999999999999,0.0,0.7,0.7028090943480242,0.3294748026996042,2.545012953597233,2.6291351355039856,0.4075242569935894,0.5813143579154293,1.8159797216046256,1.8705579348736547,10.881808257536148
3933,"Czytam, ze większość Polaków nie chce powrotu Tuska. Podobnie jak większość uważa, ze Andrzej Duda jest dobrym prezydentem, godnie pełni urząd i przysparza Polsce prestiżu, a Morawiecki jest kompetentnym i prawdomównym premierem. Przenikliwość nie zawsze ma ponad 50 procent.",twitter,72,1.0,2.0,2.0,2.2,1.4,1.4,2.0,2.4,3.0,0.0,0.25,0.25,0.3,0.0999999999999999,0.0999999999999999,0.25,0.35,0.7028090943480242,0.5299088294652698,0.0436857581793179,0.700057576764872,0.0628544867559323,0.3512211860897234,0.7274642908216074,0.0017090036806836,3.1197102261054304
3983,A na PIS pojda glosowac☺ ot i cala Polska.Zaraz bedzie wina Tuska☺☺☺,youtube,2,1.8,2.2,3.4,3.2,1.8,1.0,1.2,3.8,4.0,0.2,0.3,0.6,0.55,0.2,0.0,0.0499999999999999,0.7,0.1573950801968407,0.8163700401868949,1.3905542480197337,1.905731050976818,0.626485053719382,0.8114075297411351,1.598276635448022,1.8705579348736547,9.176777573162482
4044,"Swoją drogą to jest naprawdę śmieszne, że politycy PiS i Lewicy o Tusku czy Schetynie mówią ""dziadersi"". U Was za to panie i panowie sami młodzi, gniewni i pełni energii",twitter,0,1.4,1.4,3.2,2.8,1.4,1.2,2.2,2.8,4.0,0.0999999999999999,0.0999999999999999,0.55,0.4499999999999999,0.0999999999999999,0.0499999999999999,0.3,0.4499999999999999,0.2727070070755918,0.3294748026996042,1.1981444637568175,1.4234616612920392,0.0628544867559323,0.5813143579154293,0.5097612046650035,0.5356658411643895,4.913383825324807
4046,Może nie ma tego złego… Tusk musi mieć kierowcę i ochroniarzy. Żyjemy w kraju po zabójstwie Pawła Adamowicza. Wystarczy.,twitter,10,1.0,2.2,2.6,2.2,3.2,1.2,1.6,3.2,1.0,0.0,0.3,0.4,0.3,0.55,0.0499999999999999,0.15,0.55,0.7028090943480242,0.8163700401868949,0.6209151109680676,0.700057576764872,3.039173445382982,0.5813143579154293,1.1628704631348146,1.069622678648096,8.693132767349182
4139,"Brawo Kowalski. Nareszcie się ta cukierkowa narracja o Tusku, Merkel sypie...",youtube,74,2.6,1.4,3.8,2.2,1.0,1.4,2.4,3.4,3.0,0.4,0.0999999999999999,0.7,0.3,0.0,0.0999999999999999,0.35,0.6,1.0175992547417056,0.3294748026996042,1.7753738165455666,0.700057576764872,0.7521940272312464,0.3512211860897234,0.2920581185084002,1.3366010973899487,6.554579879971067
4341,"#GazetaPolska NIEZALEZNA.PL Ziobro dla „GP”: TK sprawdzi, czy Tusk złamał konstytucję, zgadzając się na unijny system handlu emisjami!",,18,1.0,1.4,3.0,1.6,2.0,1.0,2.2,3.0,0.0,0.0,0.0999999999999999,0.5,0.15,0.25,0.0,0.3,0.5,0.7028090943480242,0.3294748026996042,1.0057346794939006,0.0233465077622956,0.971154823957039,0.8114075297411351,0.5097612046650035,0.8026442599062428,5.156332902573245
4433,"""Dlaczego wcześniej nie używał swoich supermocy?"". Fogiel mocno odpowiada Tuskowi _link_ ",twitter,82,1.0,2.2,2.4,2.4,1.4,1.4,2.0,2.2,2.0,0.0,0.3,0.35,0.35,0.0999999999999999,0.0999999999999999,0.25,0.3,0.7028090943480242,0.8163700401868949,0.4285053267051509,0.9411922716072608,0.0628544867559323,0.3512211860897234,0.7274642908216074,0.2652694150611691,4.295686111575764
4531,Jest reakcja czołowych niemieckich mediów na raport ws. reparacji. Niektóre eksponują słowa Tuska _link_ ,twitter,51,1.4,1.4,2.4,1.4,1.0,2.0,2.6,2.4,0.0,0.0999999999999999,0.0999999999999999,0.35,0.0999999999999999,0.0,0.25,0.4,0.35,0.2727070070755918,0.3294748026996042,0.4285053267051509,0.2644812026046851,0.7521940272312464,0.3390583293873943,0.0743550323517963,0.0017090036806836,2.462484731736153
4642,"Bardzo mnie śmieszy jak bardzo fanatycy PiS i PO nie chcą już głosować na Konfederację po wypowiedzi Brauna. A najbardziej nie chce niejaki Leszek Jażdżewski, który spalił poprzedni powrót Tuska sugerując na UW, że wyśle księży na księżyc.",twitter,66,1.2,1.6,2.8,2.4,1.0,1.4,2.0,2.6,4.0,0.0499999999999999,0.15,0.4499999999999999,0.35,0.0,0.0999999999999999,0.25,0.4,0.487758050711808,0.0430135919779793,0.813324895230984,0.9411922716072608,0.7521940272312464,0.3512211860897234,0.7274642908216074,0.2686874224225369,4.384855736093146
4705,"""Tylko _users_ może odebrać wyborców Andrzejowi Dudzie"" - _users_ w #politykanaostro ""Donald Tusk nie wystartuje"" - Lech #Jaworski _users_ _link_ ",twitter,32,1.0,1.2,1.6,1.0,1.8,1.4,2.6,2.8,0.0,0.0,0.0499999999999999,0.15,0.0,0.2,0.0999999999999999,0.4,0.4499999999999999,0.7028090943480242,0.6159360134212288,0.3411338103465151,0.7467505922894634,0.626485053719382,0.3512211860897234,0.0743550323517963,0.5356658411643895,3.994356623730523
4723,"Ale pani - na oko 60 lat - oświadczyła w Wiadomościach, że Tusk jej kazał pracować do 67 roku życia _link_ ",twitter,0,1.0,1.8,2.4,1.6,1.4,1.2,2.4,2.2,1.0,0.0,0.2,0.35,0.15,0.0999999999999999,0.0499999999999999,0.35,0.3,0.7028090943480242,0.2434476187436453,0.4285053267051509,0.0233465077622956,0.0628544867559323,0.5813143579154293,0.2920581185084002,0.2652694150611691,2.599604925800047
4811,Tuska wina i to wszystko. Nie daj boze zeby on znowu rzadzil. Katastrofa,youtube,91,1.0,2.0,3.6,3.4,2.8,1.2,1.0,3.6,0.0,0.0,0.25,0.65,0.6,0.4499999999999999,0.0499999999999999,0.0,0.65,0.7028090943480242,0.5299088294652698,1.5829640322826504,2.146865745819207,2.3498339049076677,0.5813143579154293,1.8159797216046256,1.603579516131802,11.313255202474677
4905,"Z pytań WP do Donalda Tuska wynika, ze lider opozycji odpowiada za to ze władza w Warszawie jest ignorowana przez Zachód, a do tego powinien brać odpowiedzialność za rząd, wykonywać za niego pracę, a na końcu ponosić odpowiedzialność za nieudolność władzy. Dość pocieszne.",twitter,35,1.0,1.4,3.2,2.4,1.2,1.4,1.6,3.0,4.0,0.0,0.0999999999999999,0.55,0.35,0.0499999999999999,0.0999999999999999,0.15,0.5,0.7028090943480242,0.3294748026996042,1.1981444637568175,0.9411922716072608,0.4075242569935894,0.3512211860897234,1.1628704631348146,0.8026442599062428,5.895880798536077
5201,Tusk chce mnie pozwać i tygodnik Gazeta Polska za najnowszą okładkę.,,72,1.0,2.0,2.8,2.4,3.2,2.2,1.8,2.8,0.0,0.0,0.25,0.4499999999999999,0.35,0.55,0.3,0.2,0.4499999999999999,0.7028090943480242,0.5299088294652698,0.813324895230984,0.9411922716072608,3.039173445382982,0.5691515012131003,0.945167376978211,0.5356658411643895,8.076393255390222
5570,"Mądrości Tuska MEDIANARODOWE.COM Donald Tusk naprawdę to powiedział: Żołnierze Armii Czerwonej gwałcili, ale wyzwolili nas - Media Narodowe",,3,1.0,1.6,3.8,4.4,1.6,1.0,1.4,3.0,2.0,0.0,0.15,0.7,0.8500000000000001,0.15,0.0,0.0999999999999999,0.5,0.7028090943480242,0.0430135919779793,1.7753738165455666,3.352539220031154,0.281815283481725,0.8114075297411351,1.3805735492914184,0.8026442599062428,9.150176345323246
5622,Dla nocnej zmiany. 'Tusk znowu zapukał w dno od spodu. Jest czas żeby przeprosić. Odwagi'. Jest reakcja Premiera na 'rewelacje' Tuska _link_ ,twitter,57,1.0,2.2,3.6,2.8,1.6,1.4,2.0,2.6,2.0,0.0,0.3,0.65,0.4499999999999999,0.15,0.0999999999999999,0.25,0.4,0.7028090943480242,0.8163700401868949,1.5829640322826504,1.4234616612920392,0.281815283481725,0.3512211860897234,0.7274642908216074,0.2686874224225369,6.154793010925202
6054,Czy po słynnym come backu Tuska Hołownia zalał się łzami? _link_ ,twitter,63,1.6,1.4,1.8,1.4,1.0,1.6,3.0,2.2,3.0,0.15,0.0999999999999999,0.2,0.0999999999999999,0.0,0.15,0.5,0.3,0.0576559634393754,0.3294748026996042,0.1487240260835985,0.2644812026046851,0.7521940272312464,0.1211280142640174,0.3610511399614108,0.2652694150611691,2.299978591345107
6174,"Taktyka TVP wydaje mi się co najmniej zaskakująca. Do 2023 będziecie codziennie tego Tuska pokazywać w takim wymiarze jak przez weekend czy jaki jest plan? Gdybym ja była wami (uffff, jednak nie) to bym w sobotę zrobiła 2,5 minuty materiału i w niedzielę voice na 40 sekund",twitter,72,1.0,1.6,4.2,4.0,1.0,1.6,1.2,3.6,3.0,0.0,0.15,0.8,0.75,0.0,0.15,0.0499999999999999,0.65,0.7028090943480242,0.0430135919779793,2.1601933850714,2.8702698303463747,0.7521940272312464,0.1211280142640174,1.598276635448022,1.603579516131802,9.851464094818866
6400,"Szczerze ja też mam już dość. Cytując Donalda Tuska ""Janusz, wchodzisz albo wychodzisz, przestań stać w drzwiach, bo przeciąg robisz"" _link_ ",twitter,38,1.0,2.2,2.8,1.6,1.4,1.0,1.8,2.4,0.0,0.0,0.3,0.4499999999999999,0.15,0.0999999999999999,0.0,0.2,0.35,0.7028090943480242,0.8163700401868949,0.813324895230984,0.0233465077622956,0.0628544867559323,0.8114075297411351,0.945167376978211,0.0017090036806836,4.17698893468416
6585,za Tuska zylo sie lepiej oszustom i nowakom. az trudno uwierzyc ze narod tak pozbawiony rozumu.,youtube,58,1.0,2.0,4.0,4.2,1.2,1.0,1.6,3.0,0.0,0.0,0.25,0.75,0.8,0.0499999999999999,0.0,0.15,0.5,0.7028090943480242,0.5299088294652698,1.9677836008084837,3.1114045251887643,0.4075242569935894,0.8114075297411351,1.1628704631348146,0.8026442599062428,9.496352559586324
6632,Tusk wróci do Brukseli? Minister sprawiedliwości postanowił go „pożegnać” _link_ ,twitter,37,1.6,1.4,1.4,1.6,1.4,1.8,2.6,2.2,2.0,0.15,0.0999999999999999,0.0999999999999999,0.15,0.0999999999999999,0.2,0.4,0.3,0.0576559634393754,0.3294748026996042,0.5335435946094318,0.0233465077622956,0.0628544867559323,0.1089651575616884,0.0743550323517963,0.2652694150611691,1.4554649602412932
6649,Wszystko już jasne: Donald Tusk nie wystartuje w przyszłorocznych wyborach prezydenckich.,,55,1.0,1.4,1.2,1.2,1.2,1.2,2.8,1.8,0.0,0.0,0.0999999999999999,0.0499999999999999,0.0499999999999999,0.0499999999999999,0.0499999999999999,0.4499999999999999,0.2,0.7028090943480242,0.3294748026996042,0.7259533788723483,0.5056158974470742,0.4075242569935894,0.5813143579154293,0.1433480538048069,0.7992262525448753,4.195266094625752
6772,"O ile Tusk nie dysponuje oszczędnie prawdą, to może się okazać, że młode wilczki PO zostały z nim jak Himilsbach z angielskim",twitter,70,2.0,1.8,2.4,3.0,1.2,1.0,2.0,2.6,3.0,0.25,0.2,0.35,0.5,0.0499999999999999,0.0,0.25,0.4,0.3724461238330569,0.2434476187436453,0.4285053267051509,1.6645963561344286,0.4075242569935894,0.8114075297411351,0.7274642908216074,0.2686874224225369,4.924078925395151
6879,"Dodam, że gen. Pytel otrzymał fikcyjne zarzuty zanim mnie się to trafiło. Poznałem je przy okazji reprezentowania Donalda Tuska jako świadka w sprawie, gdzie Pytla nielegalnie zatrzymano. _link_ ",twitter,55,1.0,2.4,3.4,2.0,1.8,1.4,1.4,2.8,0.0,0.0,0.35,0.6,0.25,0.2,0.0999999999999999,0.0999999999999999,0.4499999999999999,0.7028090943480242,1.102831250908519,1.3905542480197337,0.4589228819224826,0.626485053719382,0.3512211860897234,1.3805735492914184,0.5356658411643895,6.549063105463674
6890,"Niemcy toczą grę o to, żeby Donald Tusk wrócił do rządu w Polsce, ponieważ chcą mieć rząd, który będzie realizował ich cele, rząd kolonialny. Dlatego blokują KPO. _link_ ",twitter,62,1.2,2.0,3.4,2.6,1.8,1.0,1.8,2.4,0.0,0.0499999999999999,0.25,0.6,0.4,0.2,0.0,0.2,0.35,0.487758050711808,0.5299088294652698,1.3905542480197337,1.1823269664496503,0.626485053719382,0.8114075297411351,0.945167376978211,0.0017090036806836,5.9753170587658735
6928,Dwaj ostatni fani wspólnej listy Donald Tusk i Włodzimierz Czarzasty,twitter,79,1.6,1.0,1.0,1.2,1.0,1.6,3.2,1.6,1.0,0.15,0.0,0.0,0.0499999999999999,0.0,0.15,0.55,0.15,0.0576559634393754,0.9023972241428534,0.9183631631352648,0.5056158974470742,0.7521940272312464,0.1211280142640174,0.5787542261180146,1.0662046712867284,4.902313187064575
7009,"Wystarczy wmówić ludziom, że Tusk ich „okrada” i można żreć z koryta bezterminowo.",youtube,76,1.0,1.4,3.8,3.6,1.4,1.0,1.6,2.8,3.0,0.0,0.0999999999999999,0.7,0.65,0.0999999999999999,0.0,0.15,0.4499999999999999,0.7028090943480242,0.3294748026996042,1.7753738165455666,2.3880004406615964,0.0628544867559323,0.8114075297411351,1.1628704631348146,0.5356658411643895,7.768456475051064
7406,Skończył się serial o rekonstrukcji to trzeba czymś wypełnić czas i umysły elektoratu. Tadam - Tusk. _link_ ,twitter,77,1.0,1.4,2.4,3.0,1.0,1.8,1.8,2.8,4.0,0.0,0.0999999999999999,0.35,0.5,0.0,0.2,0.2,0.4499999999999999,0.7028090943480242,0.3294748026996042,0.4285053267051509,1.6645963561344286,0.7521940272312464,0.1089651575616884,0.945167376978211,0.5356658411643895,5.467377982822743
7411,"PiS wpadło w sidła D. Tuska.Każde wadzenie się rządu z unijnymi instytucjami będzie wzmacniać narrację szefa PO o rychłym polexicie. Jeśli J. Kaczyński zacznie się cofać, wpadnie w pułapkę Z. Ziobry i Konfederacji...- analiza w jutrzejszej _users_ _link_ ",twitter,34,1.0,2.0,1.6,2.6,3.0,1.4,1.8,2.4,0.0,0.0,0.25,0.15,0.4,0.5,0.0999999999999999,0.2,0.35,0.7028090943480242,0.5299088294652698,0.3411338103465151,1.1823269664496503,2.6945036751453246,0.3512211860897234,0.945167376978211,0.0017090036806836,6.748779942503402
7433,Czyli na spędzie Tuska realnie było między 15 a 30 tys. osób. Tak to kłamstwo wyszło na jaw. _link_ ,twitter,59,1.0,1.2,3.6,2.2,1.0,1.4,1.8,2.8,0.0,0.0,0.0499999999999999,0.65,0.3,0.0,0.0999999999999999,0.2,0.4499999999999999,0.7028090943480242,0.6159360134212288,1.5829640322826504,0.700057576764872,0.7521940272312464,0.3512211860897234,0.945167376978211,0.5356658411643895,6.1860151482803465
7511,Jak go Tusk wsadzał na listy wyborcze to go chwalił a teraz jak pajacuje,youtube,17,1.2,1.0,4.0,3.8,1.2,1.0,1.6,3.4,2.0,0.0499999999999999,0.0,0.75,0.7,0.0499999999999999,0.0,0.15,0.6,0.487758050711808,0.9023972241428534,1.9677836008084837,2.6291351355039856,0.4075242569935894,0.8114075297411351,1.1628704631348146,1.3366010973899487,9.705477358426618
7613,"PO wygrała z PiS w 2007 r., będąc opozycją totalną, tak samo jak PiS - będąc opozycją totalną - pokonało później PO. D.Tusk, krytykując Platformę za paktowanie z PiS, wie, co mówi. W końcu to on wygrywał z J.Kaczyńskim - mój kom _link_ ",twitter,95,1.0,1.4,2.4,1.2,1.0,1.4,2.2,2.2,1.0,0.0,0.0999999999999999,0.35,0.0499999999999999,0.0,0.0999999999999999,0.3,0.3,0.7028090943480242,0.3294748026996042,0.4285053267051509,0.5056158974470742,0.7521940272312464,0.3512211860897234,0.5097612046650035,0.2652694150611691,3.844850954246996
7620,"__link__ Soboń o brexicie: Donald Tusk nie zrobił wiele, by do niego nie doszło",,91,1.0,2.0,2.0,2.2,1.2,1.0,2.2,2.2,0.0,0.0,0.25,0.25,0.3,0.0499999999999999,0.0,0.3,0.3,0.7028090943480242,0.5299088294652698,0.0436857581793179,0.700057576764872,0.4075242569935894,0.8114075297411351,0.5097612046650035,0.2652694150611691,3.9704236652183806
